RA,Latitude,Longitude,Platform,Operational,RA_Funded,Water_temp,Salinity,Wtr_press,Dew_pt,Rel_hum,Air_temp,Winds,Air_press,Precip,Solar_radn,Visibility,Water_level,Waves,Currents,Turbidity,DO,pCO2_water,pCO2_air,TCO2,pH,OmgArag_st,Chl,Nitrate,CDOM,Alkalinity,Acoustics,Raw_Vars,geometry
PacIOOS,-14.2766,-170.6908,fixed,Y,Yf,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (-170.6908 -14.2766)
PacIOOS,6.873681,158.2245,fixed,Y,Yf,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (158.2245 6.873681)
PacIOOS,7.106,171.3728,fixed,Y,Yf,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (171.3728 7.106)
PacIOOS,21.28009,-157.711,fixed,Y,Yf,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (-157.711 21.28009)
PacIOOS,20.73121,-156.455,fixed,Y,Yf,,X,,,,,,,,,,,,,X,X,,,,,,X,,,,,"sea_water_turbidity, mass_concentration_of_chlorophyll_in_sea_water, sea_water_salinity, depth, sea_water_ph_reported_on_total_scale, fractional_saturation_of_oxygen_in_sea_water, mass_concentration_of_oxygen_in_sea_water",POINT (-156.455 20.73121)
PacIOOS,13.42082,144.7859,fixed,Y,Yf,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (144.7859 13.42082)
PacIOOS,13.42059,144.78604,fixed,Y,Yf,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (144.78604 13.42059)
PacIOOS,21.2682,-157.7767,fixed,Y,Yf,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (-157.7767 21.2682)
PacIOOS,,,fixed,Y,Yf,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (nan nan)
PacIOOS,,,fixed,Y,Yf,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (nan nan)
PacIOOS,21.2638,-157.7635,fixed,Y,Yp,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (-157.7635 21.2638)
PacIOOS,21.27586,-157.7474,fixed,Y,Yp,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (-157.7474 21.27586)
PacIOOS,21.27449,-157.7147,fixed,Y,Yp,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",POINT (-157.7147 21.27449)
PacIOOS,19.7342,-155.0817,moored_buoy,O,Yf,X,X,,,,,,,,,,,,,X,X,,,,,,X,,,,,"sea_water_temperature, sea_water_salinity, mole_concentration_of_dissolved_molecular_oxygen_in_sea_water, sea_water_turbidity, mass_concentration_of_chlorophyll_a_in_sea_water",POINT (-155.0817 19.7342)
PacIOOS,20.0241,-155.8285,moored_buoy,Y,Yf,X,X,,,,,,,,,,,,,X,X,,,,,,X,,,,,"sea_water_temperature, sea_water_salinity, mole_concentration_of_dissolved_molecular_oxygen_in_sea_water, sea_water_turbidity, mass_concentration_of_chlorophyll_a_in_sea_water",POINT (-155.8285 20.0241)
PacIOOS,21.2887,-157.865,moored_buoy,Y,N,X,X,,,,,,X,,,,,,,X,X,X,X,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, mass_concentration_of_oxygen_in_sea_water, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, surface_air_pressure, sea_water_ph_reported_on_total_scale, mole_fraction_of_carbon_dioxide_in_sea_water, mole_fraction_of_carbon_dioxide_in_air",POINT (-157.865 21.2887)
PacIOOS,21.2799,-157.848,moored_buoy,Y,N,X,X,,,,,,X,,,,,,,X,X,X,X,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, mass_concentration_of_oxygen_in_sea_water, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, surface_air_pressure, sea_water_ph_reported_on_total_scale, mole_fraction_of_carbon_dioxide_in_sea_water, mole_fraction_of_carbon_dioxide_in_air",POINT (-157.848 21.2799)
PacIOOS,-14.3645,-170.7629,moored_buoy,Y,Yp,X,X,,,,,,X,,,,,,,X,X,X,X,,,,X,,,,,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, mass_concentration_of_oxygen_in_sea_water, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, surface_air_pressure, sea_water_ph_reported_on_total_scale, mole_fraction_of_carbon_dioxide_in_sea_water, mole_fraction_of_carbon_dioxide_in_air",POINT (-170.7629 -14.3645)
